AUD,CAD,CHF,DKK,GBP,JPY,NOK,NZD,PLN,SEK,USDNEXTD
15.582,15.105,11.294,74.624,8.862,128.98,97.262,16.61,42.865,102.746,11.368
15.57,15.092,11.292,74.623,8.865,129.09,97.282,16.553,42.863,102.739,11.288
15.627,15.008,11.276,74.612,8.854,128.44,97.134,16.63,42.912,102.805,11.328
15.688,15.012,11.312,74.612,8.827,128.68,97.273,16.731,42.975,103.02,11.341
15.676,14.997,11.308,74.618,8.848,128.02,97.408,16.742,42.917,103.082,11.408
15.673,15.012,11.304,74.646,8.851,128.1,97.495,16.725,42.932,103.127,11.385
15.725,15.045,11.352,74.649,8.859,128.85,97.339,16.742,42.966,103.139,11.371
15.676,15.065,11.326,74.615,8.911,128.71,97.101,16.662,43.025,102.958,11.453
15.762,15.131,11.314,74.627,8.892,128.22,97.619,16.744,43.119,103.405,11.42
15.701,15.084,11.38,74.624,8.912,128.91,97.099,16.749,43.302,103.126,11.328
15.598,15.006,11.408,74.618,8.893,128.66,96.259,16.635,43.145,102.801,11.31
15.566,15.013,11.419,74.624,8.895,128.86,96.391,16.603,43.159,102.845,11.291
15.567,14.928,11.407,74.61,8.867,128.73,96.167,16.588,42.857,102.676,11.218
15.629,14.973,11.376,74.63,8.702,128.51,96.217,16.635,42.984,102.753,11.336
15.642,14.945,11.37,74.619,8.706,128.51,95.932,16.69,42.934,102.23,11.363
15.639,14.86,11.34,74.601,8.73,127.7,95.578,16.719,43.045,102.63,11.426
15.67,14.941,11.391,74.589,8.752,128.93,95.515,16.828,42.888,102.866,11.427
15.69,14.976,11.399,74.592,8.736,129.03,95.633,16.822,42.877,102.931,11.407
15.659,14.949,11.432,74.585,8.7,129.62,95.162,16.825,42.825,102.492,11.387
15.702,14.982,11.454,74.603,8.705,129.71,95.401,16.831,42.882,103.129,11.409
15.768,14.997,11.456,74.593,8.723,129.62,95.562,16.959,43.036,103.339,11.312
15.818,14.954,11.461,74.591,8.748,129.12,95.388,17.123,43.053,103.31,11.344
15.833,14.933,11.425,74.601,8.763,128.95,95.267,17.141,43.068,103.123,11.373
15.817,14.927,11.428,74.589,8.778,128.91,95.284,17.095,43.078,103.166,11.403
15.834,14.928,11.433,74.6,8.768,128.59,95.298,17.144,43.233,103.16,11.376
15.992,14.88,11.408,74.608,8.861,127.75,95.432,17.357,43.421,103.694,11.392
15.965,14.869,11.403,74.614,8.928,128.3,95.451,17.309,43.285,104.091,11.471
16.12,14.937,11.394,74.615,8.89,127.8,95.455,17.435,43.288,104.072,11.465
16.061,14.928,11.372,74.608,8.884,127.57,95.282,17.469,43.111,104.077,11.515
16.074,14.95,11.374,74.631,8.888,127.63,95.259,17.516,43.132,104.164,11.453
16.064,14.869,11.372,74.621,8.875,127.88,94.908,17.433,43.101,103.665,11.501
16.139,14.871,11.368,74.608,8.844,127.88,95.139,17.446,43.13,103.954,11.575
16.19,15.01,11.415,74.61,8.836,129,95.113,17.511,42.978,103.543,11.579
16.192,15.02,11.42,74.608,8.844,129.35,94.664,17.478,42.916,103.198,11.563
16.181,15.084,11.469,74.604,8.809,129.45,94.688,17.455,42.969,103.467,11.594
16.17,15.083,11.474,74.611,8.809,129.59,94.733,17.463,42.95,103.506,11.52
16.133,14.987,11.403,74.603,8.798,128.5,94.809,17.503,43.046,103.561,11.49
16.178,14.973,11.447,74.607,8.769,129.56,94.456,17.558,42.926,103.111,11.492
